フラエッテ(永遠),おだやか,0.4
フラエッテ(永遠),ようき,0.1
フラエッテ(永遠),わんぱく,0.0
フラエッテ(永遠),れいせい,0.0
フラエッテ(永遠),むじゃき,0.0
フラエッテ(永遠),せっかち,0.0
フラエッテ(永遠),なまいき,0.0
ウルガモス,ずぶとい,40.1
ウルガモス,ひかえめ,33.7
ウルガモス,おくびょう,22.1
ウルガモス,おだやか,3.5
ウルガモス,おっとり,0.2
ウルガモス,せっかち,0.1
ウルガモス,れいせい,0.1
ウルガモス,わんぱく,0.1
ウルガモス,のんき,0.0
ウルガモス,ようき,0.0
スターミー,いじっぱり,67.4
スターミー,ようき,27.1
スターミー,ひかえめ,1.8
スターミー,おくびょう,1.5
スターミー,むじゃき,0.6
スターミー,やんちゃ,0.4
スターミー,せっかち,0.2
スターミー,しんちょう,0.2
スターミー,わんぱく,0.1
スターミー,うっかりや,0.1
ミミッキュ,いじっぱり,81.0
ミミッキュ,ようき,14.4
ミミッキュ,わんぱく,1.2
ミミッキュ,ゆうかん,1.1
ミミッキュ,しんちょう,0.6
ミミッキュ,おくびょう,0.4
ミミッキュ,のんき,0.3
ミミッキュ,やんちゃ,0.2
ミミッキュ,さみしがり,0.2
ミミッキュ,ずぶとい,0.2
サザンドラ,ひかえめ,61.9
サザンドラ,おくびょう,35.4
サザンドラ,ずぶとい,0.5
サザンドラ,おっとり,0.3
サザンドラ,むじゃき,0.3
サザンドラ,うっかりや,0.3
サザンドラ,おだやか,0.3
サザンドラ,せっかち,0.3
サザンドラ,いじっぱり,0.3
サザンドラ,ようき,0.2
ウォッシュロトム,ずぶとい,34.0
ウォッシュロトム,ひかえめ,27.9
ウォッシュロトム,おだやか,13.7
ウォッシュロトム,なまいき,12.2
ウォッシュロトム,おくびょう,10.3
ウォッシュロトム,のんき,1.1
ウォッシュロトム,れいせい,0.5
ウォッシュロトム,せっかち,0.1
ウォッシュロトム,おっとり,0.1
ウォッシュロトム,わんぱく,0.1
ダイケンキ(ヒスイ),いじっぱり,64.9
ダイケンキ(ヒスイ),ようき,20.7
ダイケンキ(ヒスイ),むじゃき,7.3
ダイケンキ(ヒスイ),わんぱく,3.8
ダイケンキ(ヒスイ),やんちゃ,1.8
ダイケンキ(ヒスイ),さみしがり,0.3
ダイケンキ(ヒスイ),しんちょう,0.2
ダイケンキ(ヒスイ),ゆうかん,0.2
ダイケンキ(ヒスイ),せっかち,0.2
ダイケンキ(ヒスイ),うっかりや,0.1
ドドゲザン,いじっぱり,91.7
ドドゲザン,ゆうかん,3.2
ドドゲザン,ようき,2.4
ドドゲザン,わんぱく,1.0
ドドゲザン,しんちょう,0.9
ドドゲザン,やんちゃ,0.2
ドドゲザン,なまいき,0.2
ドドゲザン,のんき,0.2
ドドゲザン,さみしがり,0.1
ドドゲザン,おとなしい,0.0
ソウブレイズ,いじっぱり,82.3
ソウブレイズ,ようき,14.6
ソウブレイズ,しんちょう,1.1
ソウブレイズ,わんぱく,0.9
ソウブレイズ,さみしがり,0.3
ソウブレイズ,やんちゃ,0.2
ソウブレイズ,せっかち,0.1
ソウブレイズ,むじゃき,0.1
ソウブレイズ,なまいき,0.1
ソウブレイズ,おとなしい,0.0
マフォクシー,おくびょう,87.0
マフォクシー,ひかえめ,11.1
マフォクシー,ずぶとい,1.2
マフォクシー,おだやか,0.2
マフォクシー,おっとり,0.2
マフォクシー,せっかち,0.1
マフォクシー,ようき,0.1
マフォクシー,むじゃき,0.1
マフォクシー,れいせい,0.0
マフォクシー,さみしがり,0.0
カメックス,ひかえめ,75.0
カメックス,おくびょう,19.9
カメックス,ずぶとい,2.0
カメックス,れいせい,0.9
カメックス,おだやか,0.6
カメックス,いじっぱり,0.5
カメックス,おっとり,0.2
カメックス,のんき,0.1
カメックス,わんぱく,0.1
カメックス,せっかち,0.1
ラウドボーン,ずぶとい,68.2
ラウドボーン,おだやか,21.0
ラウドボーン,ひかえめ,8.1
ラウドボーン,のんき,0.7
ラウドボーン,おくびょう,0.6
ラウドボーン,れいせい,0.5
ラウドボーン,なまいき,0.4
ラウドボーン,おっとり,0.1
ラウドボーン,わんぱく,0.1
ラウドボーン,しんちょう,0.1
ハラバリー,おだやか,47.2
ハラバリー,なまいき,26.9
ハラバリー,ずぶとい,12.4
ハラバリー,ひかえめ,7.3
ハラバリー,のんき,3.1
